text,label
279.57,PRICE
Milk 1L - 1.69L,TITLE
Invoice #12345,JUNK
--------,JUNK
741.42,PRICE
4.52,QUANTITY
0.28,QUANTITY
399.56,PRICE
4.55,QUANTITY
Invoice #12345,JUNK
Invoice #12345,JUNK
Olive Oil - 3.99L,TITLE
Olive Oil - 1.75pack,TITLE
NVD12574,JUNK
Invoice #12345,JUNK
488.85,PRICE
Red Split Lentils - 0.34pcs,TITLE
2.38,QUANTITY
4.52,QUANTITY
4.22,QUANTITY
Olive Oil - 0.9pcs,TITLE
312.06,PRICE
4.52,QUANTITY
300.04,PRICE
3.0,QUANTITY
251.45,PRICE
Canned Beans - 3.21g,TITLE
--------,JUNK
565.97,PRICE
638.57,PRICE
Thank you for shopping!,JUNK
--------,JUNK
304.25,PRICE
Store: Walmart,JUNK
2.62,QUANTITY
155.29,PRICE
701.24,PRICE
Cheddar Cheese - 4.6ml,TITLE
Thank you for shopping!,JUNK
Milk 1L - 3.01pack,TITLE
Cheddar Cheese - 1.8ml,TITLE
220.79,PRICE
--------,JUNK
0.19,QUANTITY
808.49,PRICE
3.84,QUANTITY
77.65,PRICE
3.56,QUANTITY
Cashier: John,JUNK
--------,JUNK
Tomato Paste - 3.07L,TITLE
3.92,QUANTITY
732.85,PRICE
Canned Beans - 0.97pcs,TITLE
Tomato Paste - 2.62g,TITLE
0.39,QUANTITY
934.88,PRICE
Tomato Paste - 0.36kg,TITLE
1.54,QUANTITY
864.71,PRICE
635.66,PRICE
--------,JUNK
Invoice #12345,JUNK
Cheddar Cheese - 4.77ml,TITLE
660.22,PRICE
--------,JUNK
Brown Sugar - 1.07pack,TITLE
Brown Sugar - 1.92ml,TITLE
83.58,PRICE
0.81,QUANTITY
Cashier: John,JUNK
526.01,PRICE
4.43,QUANTITY
NVD12574,JUNK
1.42,QUANTITY
567.49,PRICE
4.11,QUANTITY
Rice - Basmati - 4.93pcs,TITLE
Red Split Lentils - 1.9pack,TITLE
917.42,PRICE
656.38,PRICE
4.67,QUANTITY
4.75,QUANTITY
0.31,QUANTITY
Thank you for shopping!,JUNK
Olive Oil - 4.78pcs,TITLE
Store: Walmart,JUNK
Canned Beans - 4.79L,TITLE
2.46,QUANTITY
0.34,QUANTITY
Cashier: John,JUNK
369.32,PRICE
400.73,PRICE
1.99,QUANTITY
Milk 1L - 4.06kg,TITLE
Cashier: John,JUNK
214.17,PRICE
Milk 1L - 0.34L,TITLE
3.29,QUANTITY
Cashier: John,JUNK
NVD12574,JUNK
588.91,PRICE
1.13,QUANTITY
1.19,QUANTITY
318.38,PRICE
2.02,QUANTITY
Tomato Paste - 3.55pcs,TITLE
Red Split Lentils - 1.58L,TITLE
573.85,PRICE
1.63,QUANTITY
Store: Walmart,JUNK
3.31,QUANTITY
595.17,PRICE
319.39,PRICE
Thank you for shopping!,JUNK
Invoice #12345,JUNK
2.21,QUANTITY
Tomato Paste - 0.44kg,TITLE
Red Split Lentils - 4.81pcs,TITLE
Olive Oil - 1.18pcs,TITLE
3.87,QUANTITY
--------,JUNK
972.13,PRICE
Invoice #12345,JUNK
467.31,PRICE
--------,JUNK
Viva Original - 1.94g,TITLE
Viva Original - 1.54pack,TITLE
0.93,QUANTITY
789.89,PRICE
Tomato Paste - 3.92pcs,TITLE
181.73,PRICE
Red Split Lentils - 2.06pack,TITLE
652.01,PRICE
NVD12574,JUNK
4.21,QUANTITY
4.4,QUANTITY
268.87,PRICE
3.7,QUANTITY
122.71,PRICE
Whole Wheat Flour - 2.07pcs,TITLE
141.84,PRICE
Olive Oil - 1.72g,TITLE
Cashier: John,JUNK
Rice - Basmati - 1.0g,TITLE
3.38,QUANTITY
NVD12574,JUNK
0.37,QUANTITY
1.05,QUANTITY
2.44,QUANTITY
1.44,QUANTITY
291.97,PRICE
0.31,QUANTITY
Canned Beans - 0.97g,TITLE
1.87,QUANTITY
Brown Sugar - 2.6pcs,TITLE
188.57,PRICE
Tomato Paste - 3.52ml,TITLE
2.23,QUANTITY
--------,JUNK
266.01,PRICE
Thank you for shopping!,JUNK
143.62,PRICE
Canned Beans - 2.9ml,TITLE
410.18,PRICE
946.14,PRICE
541.02,PRICE
498.79,PRICE
543.76,PRICE
1.84,QUANTITY
Thank you for shopping!,JUNK
--------,JUNK
539.12,PRICE
Brown Sugar - 0.78L,TITLE
Olive Oil - 2.14ml,TITLE
379.26,PRICE
--------,JUNK
2.82,QUANTITY
4.18,QUANTITY
4.11,QUANTITY
871.47,PRICE
0.55,QUANTITY
2.21,QUANTITY
289.46,PRICE
0.3,QUANTITY
--------,JUNK
1.4,QUANTITY
Store: Walmart,JUNK
484.73,PRICE
400.7,PRICE
Store: Walmart,JUNK
337.3,PRICE
701.22,PRICE
519.95,PRICE
870.93,PRICE
NVD12574,JUNK
Thank you for shopping!,JUNK
4.81,QUANTITY
565.29,PRICE
Olive Oil - 3.65kg,TITLE
Olive Oil - 2.16kg,TITLE
881.76,PRICE
Canned Beans - 1.94pcs,TITLE
881.5,PRICE
Tomato Paste - 1.04L,TITLE
4.48,QUANTITY
Whole Wheat Flour - 4.89L,TITLE
766.55,PRICE
1.33,QUANTITY
Invoice #12345,JUNK
3.71,QUANTITY
356.38,PRICE
715.41,PRICE
836.07,PRICE
168.37,PRICE
3.96,QUANTITY
3.4,QUANTITY
4.72,QUANTITY
Store: Walmart,JUNK
Olive Oil - 3.03g,TITLE
556.45,PRICE
Milk 1L - 4.05L,TITLE
4.71,QUANTITY
1.71,QUANTITY
Tomato Paste - 0.37L,TITLE
Cashier: John,JUNK
Invoice #12345,JUNK
0.21,QUANTITY
Thank you for shopping!,JUNK
1.64,QUANTITY
NVD12574,JUNK
NVD12574,JUNK
2.61,QUANTITY
Olive Oil - 2.42ml,TITLE
4.19,QUANTITY
Red Split Lentils - 1.35pack,TITLE
Olive Oil - 0.51g,TITLE
Cashier: John,JUNK
759.4,PRICE
0.41,QUANTITY
Cheddar Cheese - 4.01kg,TITLE
Cashier: John,JUNK
Viva Original - 1.99pcs,TITLE
971.64,PRICE
4.56,QUANTITY
NVD12574,JUNK
575.73,PRICE
Viva Original - 3.81L,TITLE
Invoice #12345,JUNK
92.62,PRICE
Rice - Basmati - 4.25kg,TITLE
NVD12574,JUNK
389.48,PRICE
1.64,QUANTITY
Thank you for shopping!,JUNK
2.46,QUANTITY
Olive Oil - 0.41L,TITLE
Cashier: John,JUNK
2.92,QUANTITY
Viva Original - 2.91kg,TITLE
NVD12574,JUNK
3.54,QUANTITY
2.89,QUANTITY
682.76,PRICE
1.94,QUANTITY
--------,JUNK
170.59,PRICE
629.02,PRICE
668.26,PRICE
543.67,PRICE
897.36,PRICE
1.35,QUANTITY
Invoice #12345,JUNK
Thank you for shopping!,JUNK
Invoice #12345,JUNK
Red Split Lentils - 3.47kg,TITLE
Whole Wheat Flour - 0.46ml,TITLE
Tomato Paste - 0.9kg,TITLE
2.06,QUANTITY
Store: Walmart,JUNK
Tomato Paste - 3.27ml,TITLE
844.67,PRICE
Cashier: John,JUNK
Thank you for shopping!,JUNK
150.14,PRICE
657.11,PRICE
90.2,PRICE
4.14,QUANTITY
278.5,PRICE
415.74,PRICE
4.92,QUANTITY
381.64,PRICE
Red Split Lentils - 3.78pack,TITLE
Invoice #12345,JUNK
61.8,PRICE
2.77,QUANTITY
542.06,PRICE
NVD12574,JUNK
3.19,QUANTITY
988.73,PRICE
Whole Wheat Flour - 1.4pcs,TITLE
3.68,QUANTITY
Rice - Basmati - 0.7g,TITLE
Canned Beans - 2.98pcs,TITLE
Cashier: John,JUNK
Tomato Paste - 3.04kg,TITLE
2.52,QUANTITY
3.89,QUANTITY
952.07,PRICE
1.74,QUANTITY
1.42,QUANTITY
264.48,PRICE
589.83,PRICE
Cashier: John,JUNK
691.61,PRICE
4.54,QUANTITY
259.84,PRICE
2.07,QUANTITY
2.13,QUANTITY
Thank you for shopping!,JUNK
0.36,QUANTITY
439.57,PRICE
Viva Original - 4.62L,TITLE
957.53,PRICE
Rice - Basmati - 4.47pcs,TITLE
--------,JUNK
Milk 1L - 4.23ml,TITLE
Olive Oil - 0.9L,TITLE
70.3,PRICE
3.33,QUANTITY
374.44,PRICE
--------,JUNK
2.97,QUANTITY
Olive Oil - 4.71ml,TITLE
0.4,QUANTITY
Cashier: John,JUNK
Whole Wheat Flour - 4.24pcs,TITLE
--------,JUNK
4.13,QUANTITY
4.08,QUANTITY
2.5,QUANTITY
4.17,QUANTITY
3.1,QUANTITY
2.22,QUANTITY
Store: Walmart,JUNK
516.05,PRICE
4.41,QUANTITY
0.74,QUANTITY
4.09,QUANTITY
889.89,PRICE
408.6,PRICE
4.71,QUANTITY
0.28,QUANTITY
Thank you for shopping!,JUNK
0.45,QUANTITY
Cheddar Cheese - 4.05pcs,TITLE
Cashier: John,JUNK
Thank you for shopping!,JUNK
234.03,PRICE
898.21,PRICE
Canned Beans - 4.03ml,TITLE
Invoice #12345,JUNK
Brown Sugar - 0.94pack,TITLE
0.37,QUANTITY
75.6,PRICE
3.68,QUANTITY
Store: Walmart,JUNK
Red Split Lentils - 4.42g,TITLE
Brown Sugar - 3.91kg,TITLE
794.95,PRICE
4.45,QUANTITY
Store: Walmart,JUNK
3.53,QUANTITY
--------,JUNK
575.4,PRICE
195.85,PRICE
3.12,QUANTITY
569.46,PRICE
Store: Walmart,JUNK
1.24,QUANTITY
582.13,PRICE
283.59,PRICE
2.36,QUANTITY
4.62,QUANTITY
4.57,QUANTITY
Invoice #12345,JUNK
4.88,QUANTITY
Thank you for shopping!,JUNK
Cashier: John,JUNK
704.3,PRICE
Thank you for shopping!,JUNK
Olive Oil - 1.94pcs,TITLE
NVD12574,JUNK
1.73,QUANTITY
Brown Sugar - 2.96ml,TITLE
Thank you for shopping!,JUNK
4.99,QUANTITY
0.58,QUANTITY
Rice - Basmati - 0.52kg,TITLE
Rice - Basmati - 2.52pcs,TITLE
Invoice #12345,JUNK
962.76,PRICE
0.67,QUANTITY
Red Split Lentils - 3.05pack,TITLE
316.89,PRICE
Olive Oil - 3.41L,TITLE
407.71,PRICE
810.85,PRICE
4.62,QUANTITY
843.09,PRICE
Red Split Lentils - 2.68pcs,TITLE
4.87,QUANTITY
750.86,PRICE
Thank you for shopping!,JUNK
Store: Walmart,JUNK
712.3,PRICE
Viva Original - 2.94g,TITLE
Cheddar Cheese - 4.89kg,TITLE
2.67,QUANTITY
3.02,QUANTITY
4.72,QUANTITY
Red Split Lentils - 1.15pack,TITLE
1.15,QUANTITY
4.52,QUANTITY
354.86,PRICE
855.63,PRICE
1.83,QUANTITY
91.16,PRICE
Canned Beans - 0.91ml,TITLE
Canned Beans - 4.31ml,TITLE
Red Split Lentils - 3.03ml,TITLE
3.1,QUANTITY
Invoice #12345,JUNK
4.55,QUANTITY
4.71,QUANTITY
Red Split Lentils - 1.15ml,TITLE
3.96,QUANTITY
482.63,PRICE
Cheddar Cheese - 1.83ml,TITLE
Viva Original - 2.86ml,TITLE
Olive Oil - 2.0L,TITLE
896.67,PRICE
Thank you for shopping!,JUNK
2.04,QUANTITY
Red Split Lentils - 3.62pcs,TITLE
Milk 1L - 2.58L,TITLE
Store: Walmart,JUNK
3.76,QUANTITY
961.92,PRICE
Store: Walmart,JUNK
Store: Walmart,JUNK
4.47,QUANTITY
258.8,PRICE
--------,JUNK
Viva Original - 0.42g,TITLE
Cashier: John,JUNK
3.69,QUANTITY
0.11,QUANTITY
1.7,QUANTITY
132.16,PRICE
3.81,QUANTITY
Invoice #12345,JUNK
359.69,PRICE
Store: Walmart,JUNK
Invoice #12345,JUNK
Store: Walmart,JUNK
Cashier: John,JUNK
NVD12574,JUNK
700.7,PRICE
711.47,PRICE
4.26,QUANTITY
2.6,QUANTITY
Milk 1L - 1.61L,TITLE
208.22,PRICE
117.27,PRICE
Tomato Paste - 4.15L,TITLE
4.51,QUANTITY
Cheddar Cheese - 2.64ml,TITLE
619.25,PRICE
Invoice #12345,JUNK
Cashier: John,JUNK
Store: Walmart,JUNK
986.63,PRICE
Store: Walmart,JUNK
Canned Beans - 3.32L,TITLE
363.29,PRICE
Brown Sugar - 4.93pcs,TITLE
691.5,PRICE
NVD12574,JUNK
0.52,QUANTITY
894.63,PRICE
Store: Walmart,JUNK
Invoice #12345,JUNK
3.55,QUANTITY
2.17,QUANTITY
Cashier: John,JUNK
362.61,PRICE
Olive Oil - 4.75pcs,TITLE
855.52,PRICE
NVD12574,JUNK
